 17859-sa        Tebo-ICT,  license #WeiChuang(CD)

 Board Outline Contour             INCH units               21-March-2018 15:57

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    0.543       2.852       0.000
    0.850       2.852       0.000
    0.855       2.852       0.000
    0.860       2.850       0.000
    0.864       2.847       0.000
    0.867       2.843       0.000
    0.869       2.838       0.000
    0.870       2.833       0.000
    0.869       2.828       0.000
    0.867       2.823       0.000
    0.864       2.819       0.000
    0.860       2.816       0.000
    0.855       2.814       0.000
    0.850       2.813       0.000
    0.850       2.274       0.000
    0.855       2.273       0.000
    0.860       2.271       0.000
    0.864       2.268       0.000
    0.867       2.264       0.000
    0.869       2.259       0.000
    0.870       2.254       0.000
    0.869       2.249       0.000
    0.867       2.244       0.000
    0.864       2.240       0.000
    0.860       2.237       0.000
    0.855       2.235       0.000
    0.850       2.234       0.000
    0.563       2.234       0.000
    0.558       2.234       0.000
    0.554       2.232       0.000
    0.549       2.228       0.000
    0.546       2.224       0.000
    0.544       2.220       0.000
    0.544       2.215       0.000
    0.544       2.215       0.000
    0.544       2.063       0.000
    0.545       2.053       0.000
    0.549       2.044       0.000
    0.555       2.036       0.000
    0.563       2.029       0.000
    0.573       2.025       0.000
    0.574       2.025       0.000
    0.583       2.021       0.000
    0.592       2.015       0.000
    0.598       2.007       0.000
    0.602       1.998       0.000
    0.604       1.988       0.000
    0.604       1.987       0.000
    0.604       1.945       0.000
    0.605       1.940       0.000
    0.607       1.935       0.000
    0.610       1.931       0.000
    0.614       1.928       0.000
    0.619       1.926       0.000
    0.624       1.925       0.000
    0.872       1.925       0.000
    0.872       1.930       0.000
    0.874       1.935       0.000
    0.877       1.939       0.000
    0.881       1.942       0.000
    0.886       1.944       0.000
    0.891       1.945       0.000
    0.896       1.944       0.000
    0.901       1.942       0.000
    0.905       1.939       0.000
    0.908       1.935       0.000
    0.910       1.930       0.000
    0.911       1.925       0.000
    0.911       1.394       0.000
    0.910       1.389       0.000
    0.908       1.384       0.000
    0.905       1.380       0.000
    0.901       1.377       0.000
    0.896       1.375       0.000
    0.891       1.374       0.000
    0.886       1.375       0.000
    0.881       1.377       0.000
    0.877       1.380       0.000
    0.874       1.384       0.000
    0.872       1.389       0.000
    0.872       1.394       0.000
    0.624       1.394       0.000
    0.619       1.393       0.000
    0.614       1.391       0.000
    0.610       1.388       0.000
    0.607       1.384       0.000
    0.605       1.379       0.000
    0.604       1.374       0.000
    0.604       1.157       0.000
    0.605       1.152       0.000
    0.607       1.148       0.000
    0.610       1.144       0.000
    0.614       1.140       0.000
    0.619       1.138       0.000
    0.624       1.138       0.000
    0.872       1.138       0.000
    0.872       1.143       0.000
    0.874       1.148       0.000
    0.877       1.152       0.000
