 17859-sa        Tebo-ICT,  license #WeiChuang(CD)

 Test Fixture Nails     197/197  Selected Drills           21-March-2018 15:57
                        197 Nails,  2368 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1        7.0960    3.3230   3  A1   (B)  #1132 N12P_JTAG_TDO    T PIN TP7901.1
$2        7.0610    3.2880   3  A1   (B)  #1134 N12P_JTAG_TDI    T PIN TP7905.1
$3        7.0220    3.1690   1  A1   (B)  #1135 N12P_JTAG_TCK    T PIN TP7906.1
$4        7.5685    1.8005   1  A1   (B)  #593  LAN_PCIE_RX_N    T PIN TB_TP49.1
$5        7.7230    1.5960   1  A1   (B)  #594  LAN_PCIE_RX_P    T PIN TB_TP48.1
$6        8.5200    0.7360   1  A1   (B)  #586  SSD_PCIE_TX_N1   T PIN TB_TP33.1
$7        8.6455    0.7745   1  A1   (B)  #582  SSD_PCIE_RX_N1   T PIN TB_TP39.1
$8        8.6420    0.7020   3  A1   (B)  #1454 SSD_PCIE_TX_CON_P1 T PIN TB_TP35.1
$9        8.6645    0.6545   3  A1   (B)  #580  SSD_PCIE_RX_N2   T PIN TB_TP38.1
$10       8.6680    0.5410   1  A1   (B)  #569  SSD_PCIE_RX_N3   T PIN TB_TP37.1
$11       8.6695    0.4585   2  A1   (B)  #1462 SSD_PCIE_TX_CON_P3 T PIN TB_TP34.1
$12       8.6760    0.3830   2  A1   (B)  #1459 SSD_SATA_TX_CON_N T PIN TB_TP30.1
$13       8.5140    0.4790   2  A1   (B)  #1461 SSD_SATA_RX_CON_P T PIN TB_TP31.1
$14       8.5680    0.5590   1  A1   (B)  #570  SSD_PCIE_RX_P3   T PIN TB_TP36.1
$15       8.4740    0.5490   1  A1   (B)  #1460 SSD_SATA_RX_CON_N T PIN TB_TP32.1
$16       8.3470    0.7120   1  A1   (B)  #597  SSD_SATA_TX_P    T PIN TB_TP27.1
$17       8.2320    0.5940   1  A1   (B)  #1217 HDD_SATA_RX_CON_P T PIN TB_TP51.1
$18       8.1660    0.5410   3  A1   (B)  #1216 HDD_SATA_RX_CON_N T PIN TB_TP52.1
$19       8.1390    0.5920   3  A1   (B)  #1214 HDD_SATA_TX_CON_P T PIN TB_TP50.1
$20       6.4780    1.7705   1  A1   (B)  #387  SPI_SO_CPU       T PIN TB_TP42.1
$21       6.5390    1.8798   1  A1   (B)  #391  SPI_CLK_CPU      T PIN TB_TP47.1
$22       6.4040    1.8983   1  A1   (B)  #415  SPI_CS_ROM_N2    T PIN TB_TP8.1
$23       6.1787    2.0013   1  A1   (B)  #958  SPI_WP_ROM       T PIN TB_TP1.1
$24       6.1230    1.9023   2  A1   (B)  #957  SPI_HOLD_ROM     T PIN TB_TP4.1
$25       6.1310    1.8262   2  A1   (B)  #388  SPI_CS_ROM_N0    T PIN TB_TP9.1
$26       5.8840    1.8776   1  A1   (B)  #956  SPI_SI_ROM       T PIN TB_TP3.1
$27       5.7241    1.8679   1  A1   (B)  #386  SPI_SI_CPU       T PIN TB_TP44.1
$28       5.0460    1.9550   1  A1   (B)  #330  HDA_SDOUT_CPU    T PIN TB_TP55.1
$29       5.0584    2.1530   3  A1   (B)  #327  PM_SLP_S0_       T PIN TP9956.1
$30       5.1112    2.1650   3  A1   (B)  #353  HDA_SYNC_CPU     T PIN TB_TP53.1
$31       5.1850    2.1270   2  A1   (B)  #336  PM_SLP_S3_       T PIN TP9952.1
$32       5.2334    2.0930   3  A1   (B)  #337  SIO_SLP_A_       T PIN TP9951.1
$33       5.3867    2.1472   3  A1   (B)  #381  V0_85A_VID0      T PIN TP2201.1
$34       5.4147    2.1052   3  A1   (B)  #380  V0_85A_VID1      T PIN TP2202.1
$35       5.4347    2.1492   3  A1   (B)  #383  VRALERT_         T PIN TP1708.1
$36       5.5504    2.1642   2  A1   (B)  #413  SPI_HOLD_CPU     T PIN TB_TP45.1
$37       5.6210    2.1772   2  A1   (B)  #410  SPI_WP_CPU       T PIN TB_TP40.1
$38       5.7430    2.1750   1  A1   (B)  #424  IST_TRIG         T PIN TP620.1
$39       5.8040    2.4470   1  A1   (B)  #420  CNV_WT_DP0       T PIN TB_TP15.1
$40       5.9600    2.4660   1  A1   (B)  #423  CNV_WT_DN0       T PIN TB_TP16.1
$41       5.9530    2.8690   1  A1   (B)  #688  XDP_DBRESET_     T PIN TP9955.1
$42       5.4550    3.4300   1  A1   (B)  #669  USB2_USB20_P     T PIN TB_TP22.1
$43       5.2190    3.6530   1  A1   (B)  #668  USB2_USB20_N     T PIN TB_TP23.1
$44       4.9640    3.3120   1  A1   (B)  #578  SSD_SATA_TX_N    T PIN TB_TP28.1
$45       4.7340    3.4760   3  A1   (B)  #664  CCD_USB20_N      T PIN TB_TP74.1
$46       4.6880    3.4610   3  A1   (B)  #665  CCD_USB20_P      T PIN TB_TP73.1
$47       4.7010    3.3100   3  A1   (B)  #560  XDP_CLK_CPU_N    T PIN TP1808.1
$48       4.6520    3.3110   3  A1   (B)  #561  XDP_CLK_CPU_P    T PIN TP1807.1
