 17859-sa        Tebo-ICT,  license #WeiChuang(CD)

 Parts List              2682/2682  Selected Parts             21-March-2018 15:57
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

PR4401        6.4350    0.3720  180.0  A1   (B)  'R1206H38', 'R1206H38'
PR4402        7.0540    0.4120  270.0  A1   (T)  'R603H22', 'R603H22'
PR4403        6.9930    0.0760   90.0  A1   (T)  'R805H24', 'R805H24'
PR4404        6.7030    0.0640  180.0  A1   (T)  'R402H16', 'R402H16'
PR4405        6.8960    0.0960  270.0  A1   (T)  'R402H16', 'R402H16'
PR4406        6.7640    0.0660    0.0  A1   (T)  'R402H16', 'R402H16'
PR4407        5.6990    0.1460    0.0  A1   (T)  'R3720H40', 'R3720H40'
PR4409        6.7050    0.1540  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4410        6.6560    0.1800   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4411        6.6600    0.2440  270.0  A1   (B)  'R402H14_B', 'R402H14_B'
PR4412        6.6700    0.3060   90.0  A1   (B)  '0R0402-PAD_B', '0R0402-PAD_B'
PR4413        6.6700    0.3370  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4414        7.0550    0.3950   90.0  A1   (B)  '0R0805-PAD', '0R0805-PAD'
PR4416        6.1300    0.0970  270.0  A1   (T)  'R603H22', 'R603H22'
PR4417        6.8850    0.1540    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4420        6.8600    0.5050  180.0  A1   (T)  'R603H22', 'R603H22'
PR4422        7.1300    0.1800  270.0  A1   (T)  'R402H16', 'R402H16'
PR4423        7.1610    0.2270  270.0  A1   (T)  'R402H16', 'R402H16'
PR4424        6.7340    0.5840    0.0  A1   (T)  'R402H16', 'R402H16'
PR4425        6.7030    0.5840    0.0  A1   (T)  'R402H16', 'R402H16'
PR4426        7.3040    0.1290   90.0  A1   (T)  'R402H16', 'R402H16'
PR4427        7.1960    0.0780    0.0  A1   (T)  'R402H16', 'R402H16'
PR4429        6.7870    0.1360  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4430        4.3560    0.1900  270.0  A1   (T)  'R402H16', 'R402H16'
PR4431        4.4230    0.1570    0.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
PR4432        4.4540    0.1570    0.0  A1   (T)  'R402H15', 'R402H15'
PR4433        4.4840    0.1570    0.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
PR4434        7.0860    0.1440   90.0  A1   (T)  'R402H16', 'R402H16'
PR4435        7.1760    0.2690  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4436        7.1080    0.5440  180.0  A1   (T)  'R402H16', 'R402H16'
PR4437        7.1430    0.0990   90.0  A1   (T)  'R402H16', 'R402H16'
PR4438        6.8650    0.5050  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4439        6.5510    0.2070   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4440        5.7670    0.2450  270.0  A1   (B)  'R2512-4H35_B', 'R2512-4H35_B'
PR4441        6.0920    0.3690   90.0  A1   (T)  'R603H22', 'R603H22'
PR4443        6.6140    0.5300   90.0  A1   (B)  'R603H22_B', 'R603H22_B'
PR4444        6.9100    0.4950    0.0  A1   (B)  'R603H22_B', 'R603H22_B'
PR4445        6.9320    0.4330  270.0  A1   (T)  'R402H16', 'R402H16'
PR4446        6.9100    0.4950    0.0  A1   (T)  'R603H22', 'R603H22'
PR4447        6.6140    0.1660  270.0  A1   (T)  'R402H16', 'R402H16'
PR4448        6.6140    0.1360   90.0  A1   (T)  'R402H16', 'R402H16'
